Response ID,Response Status,Country Code,Region,With which gender do you identify? ,What is your age? ,What is your marital status? ,What is your race? ,What is your education level? ,In which City/County within the Roanoke Metropolitan Area do you live? ,,In which City/County within the Roanoke Metropolitan Area do you work? ,,What is the age of the firm/company/association you work in?,What is your (firm/company/association)' s size? (# number of employees or workers),If you commute to work how far is your work from your homeplace? ,Are you the owner or renter of your house? ,How many people in your household have jobs?,How many people currently live in your household?,What is your expected/desired family size in the future including yourself and any dependents?,What is your monthly earning? ,What is your industry sector?,What is your job title?,How many hours do you typically work per week at your current job?,How do you typically work in your current job? ,What is the level of importance of physical interactions with a team in order to perform your current job?,Regardless of your current working style (Remote or in-person) have you heard about anyone who works in the same profession as you but remotely no matter where?,Regardless of your current working style (Remote or in-person) have you come across any news or information sources indicating that your profession might be shifted either partially or completely towards remote work in the future?,On a scale of 1-5 please rate your agreement with the following statement: 'During the COVID-19 pandemic working from home using technological advancements in communication (e.g. Zoom Skype Teams) was efficient in performing my job tasks.',How do you usually transport to your workplace?,,,,,,Regardless of your current working style what is the future work style do you prefer? ,If you work in-person (commute to work) how would you rank your preferred living area within Roanoke Metropolitan Area considering your income and affordability? (1 is the most preferred)? ,,,,If you work remotely how would you rank your preferred areas to live within Roanoke Metropolitan Area considering your income and affordability? (1 is the most preferred)?,,,,In the past ten years how many times have you relocated your living place?,If you currently work in person in an urban area and live close to your workplace but your job is shifting to a partially remote you may be thinking about whether it makes sense to move to a suburban area. How would you contemplate relocating to the suburbs in this scenario?,If you currently work in person in an urban area and live close to your workplace but your job is shifting completely remote you may be thinking about whether it makes sense to move to a suburban area. How would you contemplate relocating to the suburbs in this scenario?,Your colleagues/friends have shifted to remote work and moved from an urban area to a suburban or rural area. Would you be able to consider a move to a rural area if you also have the option to work remotely like them?,Proximity to my workplace,Proximity to Centeral Business Area (CBD),Closest to amenities,Close to schools,Close to roads (Accessible),Close to transportation means,The sense of community (Belongingness),safety (less crime rate),Affordability for housing and living costs ,civilized and city lifestyle,rural and suburbia lifestyle,more spacious living space  & large lot size,Career growth opportunity
102151814,Completed,US,VA,1,4,2,1,6,3,"ROANOKE, Virginia (24018)",2,"SALEM, Virginia (24153)",5,5,6,2,1,3,5,3,5,Sales Application Engineer,4,4,2,4,3,5,1,,,,,,4,1,2,3,4,1,2,3,4,4,1,2,2,5,4,4,4,3,1,3,5,5,4,2,3,5
102152737,Completed,US,VA,2,3,1,2,8,1,"ROANOKE, Virginia (24018)",1,"ROANOKE, Virginia (24016)",5,5,50,2,3,4,3,2,12,Postdoctoral fellow ,4,2,4,6,1,4,,,1,,,,3,1,2,3,4,1,2,3,4,1,2,2,2,5,4,4,4,3,5,4,5,5,3,4,3,5
102156855,Completed,US,VA,1,3,2,1,5,2,"SALEM, Virginia (24153)",1,"ROANOKE, Virginia (24018)",5,1,9,1,2,3,5,3,5,Project Manager,3,4,2,4,2,4,1,,,,,,4,4,3,2,1,4,3,2,1,4,3,3,1,2,1,3,4,5,3,5,4,3,2,4,5,4
102164242,Completed,JO,AM,2,4,2,1,8,3,"ROANOKE, Virginia (24015)",1,"ROANOKE, Virginia (24016)",5,4,10,2,2,5,5,3,12,Research Scientist,3,1,1,4,2,5,,,,,,1,1,,,,,3,1,2,4,4,2,,1,5,4,4,5,5,2,4,5,4,4,3,4,4
102170348,Completed,US,MI,2,4,2,1,8,6,"FERRUM, Virginia (24088)",7,"BLACKSBURG, Virginia (24060)",5,5,58,2,2,4,5,2,9,Teaching Assistant,2,1,1,4,2,4,1,,,,,,4,3,1,2,4,3,1,2,4,5,1,2,2,4,4,4,4,4,1,4,4,4,4,1,3,4
102170586,Completed,US,VA,2,3,2,1,5,3,"ROANOKE, Virginia (24018)",1,"ROANOKE, Virginia (24017)",4,1,5,2,2,4,5,3,16,Dentist,2,2,5,2,1,3,1,,,,,,2,1,0,0,0,1,3,2,4,3,3,3,1,4,4,4,5,4,4,4,5,4,4,3,4,5
102173200,Completed,US,VA,1,3,2,1,8,3,"BLACKSBURG, Virginia (24060)",7,"BLACKSBURG, Virginia (24061)",5,5,1,2,1,1,5,4,15,Postdoc,4,4,2,4,1,3,,,,,1,,3,3,2,1,4,3,2,1,4,5,2,2,2,4,4,4,3,5,3,4,5,4,3,3,4,5
102180525,Completed,US,NJ,1,3,1,1,6,1,"ROANOKE, Virginia (24016)",1,"ROANOKE, Virginia (24016)",5,,18,2,1,1,4,3,4,Project Manager,4,2,3,2,1,5,1,,,,,,1,1,2,3,4,4,2,1,3,4,2,3,1,5,4,5,5,3,4,5,5,5,3,1,2,4
102184796,Completed,US,VA,1,4,2,1,5,1,"ROANOKE, Virginia (24015)",3,"ROANOKE, Virginia (24018)",5,1,5,1,2,3,3,3,12,Chief Executive Officer,4,4,3,3,2,4,1,,,,,,4,2,1,3,4,2,1,3,4,4,1,1,3,4,4,5,5,5,5,5,5,5,5,2,3,4
102187530,Completed,US,VA,2,4,2,1,8,1,"ROANOKE, Virginia (24018)",1,"ROANOKE, Virginia (24016)",4,4,6,1,3,5,5,4,12,Graduate student,3,3,3,1,1,3,1,,,,,,1,1,2,3,4,1,2,3,4,4,2,1,2,4,4,4,5,4,4,5,5,4,4,1,3,5
102198106,Completed,US,VA,1,5,1,1,6,6,"FERRUM, Virginia (24088)",6,"FERRUM, Virginia (24088)",5,3,0.25,1,1,1,2,2,15,Assistant Professor,3,3,4,4,2,3,1,,,,,,3,4,3,1,2,4,3,2,1,3,2,3,1,4,2,4,3,5,3,4,5,5,3,4,5,4
102204407,Completed,US,VA,2,4,2,1,8,3,"ROANOKE, Virginia (24018)",3,"ROANOKE, Virginia (24018)",5,2,12,2,2,4,5,2,16,RN,1,2,5,4,2,2,1,,,,,,2,1,2,3,4,1,2,3,4,3,2,2,3,5,3,2,5,4,4,4,4,4,4,4,4,3
102205996,Completed,US,VA,2,4,2,1,5,3,"ROANOKE, Virginia (24018)",,,,,,1,3,5,5,4,,,,,,6,2,,,,,,,,,,,,,,,,,2,,,2,4,,,5,4,4,4,5,5,4,4,4,4
102264856,Completed,US,VA,1,4,2,1,6,3,"ROANOKE, Virginia (24018)",3,"ROANOKE, Virginia (24018)",5,5,4,1,1,5,5,3,12,project application engineer,4,4,3,2,2,5,1,,,,,,4,3,2,1,4,3,2,1,4,2,2,2,1,4,4,4,4,4,3,4,5,5,5,4,4,4
102291478,Completed,US,VA,1,3,2,1,5,3,"ROANOKE, Virginia (24018)",1,"ROANOKE, Virginia (24018)",5,4,7,2,1,1,4,3,12,Electrical drives and Control Field Engineer ,3,3,3,3,2,3,1,,,,,,3,2,4,3,1,2,4,3,1,4,2,2,3,4,3,3,4,3,1,4,5,4,4,1,2,4
102312333,Completed,US,VA,1,6,2,1,5,5,"ROANOKE, Virginia (24019)",2,"ROANOKE, Virginia (24018)",5,5,12,1,1,2,5,3,12,Chief Specialist,4,3,5,2,1,2,1,,,,,,3,4,3,1,2,4,3,1,2,2,3,3,1,2,1,4,4,3,4,5,5,4,3,5,5,4
102316809,Completed,US,VA,2,3,2,1,6,1,"ROANOKE, Virginia (24016)",3,"ROANOKE, Virginia (24018)",5,4,10,1,2,4,5,3,12,Manager,4,3,4,3,2,4,1,,,,,,3,4,3,1,2,,,,,3,3,3,2,4,3,5,4,4,1,1,5,3,3,2,4,5
102369611,Completed,US,NC,1,4,2,1,8,3,"ROANOKE, Virginia (24018)",7,"FLOYD, Virginia (24091)",5,5,38,1,1,5,5,4,5,Lead Scientist ,4,3,4,1,2,4,1,,,,,,3,3,2,1,4,3,2,1,4,5,1,1,2,4,4,5,5,4,3,3,5,5,4,1,3,5
102378931,Completed,US,VA,1,7,2,1,6,3,"VINTON, Virginia (24179)",3,"ROANOKE, Virginia (24018)",4,4,13,1,1,2,2,3,8,,,3,2,3,2,5,1,,,,,,4,4,3,1,2,4,3,1,2,1,3,3,1,4,3,3,4,4,4,4,5,5,3,4,4,4
102387460,Completed,US,,1,3,2,1,5,3,"ROANOKE, Virginia (24019)",7,"COVINGTON, Virginia (24426)",5,5,60,2,1,3,4,3,5,Manufacturing Supervisor,4,2,4,2,2,3,1,1,,,,,4,2,3,1,4,1,3,2,4,2,3,2,1,5,4,4,5,4,4,5,5,5,5,3,3,5
102429178,Completed,US,VA,2,3,2,8,5,1,"ROANOKE, Virginia (24018)",1,"ROANOKE, Virginia (24018)",3,2,2,2,2,3,5,3,10,accounting,2,4,3,3,1,4,1,,,,,,1,2,1,3,4,3,1,2,4,1,1,2,2,3,4,4,5,4,1,4,4,4,3,2,3,3
102445186,Completed,US,,2,4,2,1,6,4,"NEW CASTLE, Virginia (24127)",4,"NEW CASTLE, Virginia (24127)",5,3,10,1,2,4,5,2,20,Planner in manucipility ,3,2,3,2,2,3,1,,,,,,1,1,3,2,4,4,2,1,3,3,1,2,2,4,1,4,5,5,3,4,5,4,3,3,4,4
102446943,Completed,US,VA,1,4,2,4,6,2,"SALEM, Virginia (24153)",2,"SALEM, Virginia (24153)",5,5,1,1,1,5,5,3,12,Lead Engineer,3,4,2,4,2,4,1,,,,,,4,2,3,1,4,2,3,1,4,2,3,3,3,3,3,3,3,1,1,2,5,4,4,4,4,5
102448655,Completed,US,DC,1,5,2,4,7,3,"ROANOKE, Virginia (24018)",2,"SALEM, Virginia (24153)",5,5,4,1,2,3,2,3,16,Physician,4,2,4,1,2,2,1,,,,,,2,3,2,1,4,3,2,1,4,2,3,2,1,4,2,4,4,4,1,5,5,3,1,2,2,4
102458888,Completed,US,VA,2,4,2,1,8,3,"ROANOKE, Virginia (24018)",3,"ROANOKE, Virginia (24018)",1,1,0,2,2,5,5,1,12,Lecturer ,2,1,2,6,1,4,,,,,,1,1,4,3,2,1,4,3,2,1,5,1,1,1,4,4,2,5,4,4,3,5,4,2,3,4,4
102459716,Completed,US,VA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102483431,Completed,US,VA,2,3,2,4,5,3,"ROANOKE, Virginia (24018)",3,"ROANOKE, Virginia (24018)",2,1,1,2,1,4,5,3,9,Software development ,3,1,4,3,2,4,,,,,,1,1,4,2,3,1,1,3,2,4,2,3,3,1,4,2,3,5,3,4,4,5,4,4,4,3,4
102578254,Completed,US,VA,1,4,2,8,7,6,"ROCKY MOUNT, Virginia (24151)",6,"ROCKY MOUNT, Virginia (24151)",4,1,5,1,3,3,4,2,5,Engineer,,3,2,2,2,3,1,,,,,,4,1,2,3,4,3,1,2,4,2,2,2,2,4,2,4,5,4,3,5,5,5,3,3,4,3
102669551,Completed,US,VA,2,3,1,1,5,1,"ROANOKE, Virginia (24018)",1,"ROANOKE, Virginia (24018)",2,4,2,2,1,1,4,3,10,accounting,3,2,3,4,2,4,1,,,,,,3,1,2,3,4,1,2,3,4,1,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4
102672776,Completed,US,VA,2,4,2,7,8,3,"ROANOKE, Virginia (24018)",1,"ROANOKE, Virginia (24014)",5,5,3.6,1,2,4,4,3,16,Resident physician,4,2,2,2,2,4,1,,,,,,3,4,2,1,3,,,,,5,1,1,3,4,2,2,5,4,4,5,5,4,1,3,3,3
102722145,Completed,US,,2,4,2,7,5,3,"ROANOKE, Virginia (24018)",3,"ROANOKE, Virginia (24018)",2,5,5,2,3,5,5,3,16,Residents physician,4,2,5,3,1,3,1,,,,,,3,1,2,3,4,,,,,4,2,2,3,4,3,2,5,4,4,4,4,4,2,4,2,5
102728138,Completed,US,VA,2,4,2,7,5,5,"CLOVERDALE, Virginia (24077)",7,,1,5,10,2,2,5,5,4,15,Sub-teacher,2,2,4,1,1,1,1,,,,,,4,4,1,2,3,3,2,1,4,3,1,2,3,5,3,4,5,4,4,5,5,4,3,2,2,4
102734244,Completed,US,VA,2,4,2,1,2,3,"ROANOKE, Virginia (24018)",3,"ROANOKE, Virginia (24018)",3,1,10,1,2,5,5,3,6,Secretary ,3,1,1,6,1,4,,,,,,1,1,3,4,2,1,4,3,2,1,5,2,2,2,3,3,5,5,4,4,4,5,5,4,3,4,4
102760052,Completed,US,VA,2,7,2,1,4,6,"FERRUM, Virginia (24088)",7,"RADFORD, Virginia (24141)",5,1,0,1,1,2,2,3,10,Senior Real Estate Title Underwriter,,1,1,3,1,1,1,,,,,,1,,,,,4,3,2,1,1,,,1,1,1,1,1,4,1,4,4,5,1,5,5,1
102762134,Completed,US,VA,2,6,2,1,5,1,"ROANOKE, Virginia (24016)",1,"ROANOKE, Virginia (24016)",5,5,15,1,1,3,4,2,15,Substitute teacher,3,2,4,2,1,2,1,,,,,,2,1,0,0,0,1,0,0,0,1,1,1,3,3,3,4,4,4,4,5,5,4,5,4,3,4
102762177,Completed,US,VA,2,4,2,1,8,3,"ROANOKE, Virginia (24018)",1,"ROANOKE, Virginia (24018)",5,5,0,2,2,5,5,3,12,Engineer,4,1,3,4,2,4,1,,,,,,1,1,0,0,0,0,1,0,0,4,2,2,2,4,4,4,5,4,4,5,5,4,5,3,5,5
102764204,Completed,US,VA,2,3,2,7,6,3,"BOONES MILL, Virginia (24065)",7,"BLACKSBURG, Virginia (24060)",5,,,2,2,2,4,2,12,Graduate Student (Instructor of Record),3,3,2,2,1,4,1,,1,,,,3,4,2,1,3,3,4,1,2,4,3,3,2,4,3,4,2,3,3,5,5,5,3,4,3,4
102765993,Completed,US,FL,2,3,2,1,5,1,"ROANOKE, Virginia (24016)",1,"ROANOKE, Virginia (24011)",2,5,40,1,3,3,5,2,3,Structural Engineer,3,3,3,5,2,4,1,,,,,,1,2,1,3,4,1,2,3,4,1,2,2,2,3,3,4,2,4,3,3,5,4,4,3,3,4
102766462,Completed,US,VA,2,4,2,8,2,1,"ROANOKE, Virginia (24016)",7,"CHRISTIANSBURG, Virginia (24073)",5,1,28,1,2,5,5,4,18,Witter and chief help ,3,2,3,6,3,1,1,,,,,,2,1,0,4,0,2,3,1,4,1,,2,2,3,3,5,5,3,3,3,5,2,3,1,4,5
102786441,Completed,US,VA,2,4,2,7,8,1,"ROANOKE, Virginia (24016)",1,"ROANOKE, Virginia (24016)",1,2,10,2,1,5,5,2,12,Dr,3,3,3,2,1,3,,,1,,,,4,4,1,2,3,4,2,3,1,2,3,3,2,4,3,4,4,2,2,2,5,4,4,2,,
102786946,Completed,US,VA,2,3,1,1,8,1,"ROANOKE, Virginia (24016)",1,"ROANOKE, Virginia (24016)",5,2,3,2,1,1,4,2,4,Architect,3,3,3,2,2,3,,,1,,,,3,1,2,3,4,4,1,2,3,3,2,2,3,4,3,4,4,4,4,4,5,4,4,1,4,5
102793604,Completed,US,VA,1,4,2,1,2,3,"ROANOKE, Virginia (24018)",3,"ROANOKE, Virginia (24018)",5,5,2,2,1,5,5,4,5,Quality ,4,2,4,1,1,2,1,,,,,,2,4,3,2,1,4,3,2,1,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3
102794559,Completed,US,VA,2,4,2,1,5,1,"ROANOKE, Virginia (24001)",2,"ROANOKE, Virginia (24001)",3,3,20,2,2,5,2,2,4,Software engineer ,3,1,2,2,1,3,,,1,1,,,2,3,4,2,1,2,3,1,4,1,2,2,1,3,4,4,3,2,3,3,3,3,3,3,3,3
102794939,Completed,US,VA,2,3,2,1,6,1,"ROANOKE, Virginia (24016)",1,"ROANOKE, Virginia (24016)",5,4,4,2,2,4,4,4,15,Teaching assistant,4,4,3,3,1,4,,,1,,,,4,1,2,3,4,1,2,3,4,4,2,2,3,4,2,,5,4,5,3,5,4,3,2,3,4
102797204,Completed,US,VA,2,3,2,1,5,1,"ROANOKE, Virginia (24011)",1,"ROANOKE, Virginia (24011)",5,2,2,2,2,4,5,4,19,Seller,3,2,3,1,2,2,1,,,,,,1,1,2,3,4,1,2,3,4,5,1,1,2,4,3,4,5,5,4,5,5,4,4,4,4,4
102803870,Completed,US,VA,1,4,2,1,5,2,"SALEM, Virginia (24153)",2,"SALEM, Virginia (24153)",2,1,1,2,1,5,5,4,19,Business owner,4,2,5,2,2,3,1,,,,,,4,1,2,3,4,3,2,1,4,4,1,1,2,5,4,4,5,5,2,4,5,5,5,4,5,5
103014306,Completed,US,VA,2,4,2,1,6,3,"ROANOKE, Virginia (24018)",3,"ROANOKE, Virginia (24018)",4,1,3,1,3,5,5,4,19,Hair stylist ,2,2,4,1,1,1,1,,,,,,2,3,2,1,4,2,3,1,4,3,2,1,3,3,3,3,4,5,4,4,5,4,4,3,4,4
103033915,Completed,US,VA,1,5,2,1,6,3,"ROANOKE, Virginia (24018)",1,"ROANOKE, Virginia (24017)",5,1,6,1,3,5,5,3,7,Manager ,4,2,4,6,1,1,1,,,,,,2,1,0,0,0,1,0,0,0,1,1,1,2,1,1,1,4,4,4,4,4,4,4,4,4,4
103231839,Completed,US,VA,1,4,2,1,1,3,"ROANOKE, Virginia (24018)",3,"ROANOKE, Virginia (24018)",3,1,3,1,2,5,5,2,18,Petra grill,3,1,4,1,1,3,1,,,,,,4,2,3,1,4,1,3,2,4,1,2,2,1,3,5,3,3,4,2,4,5,5,5,5,2,2
103233631,Completed,US,VA,1,3,2,7,2,3,"ROANOKE, Virginia (24018)",1,"ROANOKE, Virginia (24017)",5,2,12,1,1,3,5,3,7,Owner,4,3,5,1,1,2,1,,,,,,4,4,3,2,1,4,3,2,1,1,3,3,3,3,3,3,3,4,1,2,5,3,1,4,5,5
103233677,Completed,US,VA,1,3,2,4,5,1,"ROANOKE, Virginia (24018)",1,,5,1,3,2,1,2,5,3,7,Casher,4,2,2,1,2,,,,,,,,3,3,2,1,4,,,,,3,2,2,2,,,,,,,,,,,,,
103234183,Completed,US,VA,1,5,2,1,5,3,"ROANOKE, Virginia (24018)",,,5,1,2,1,3,5,5,3,7,Owner,2,2,3,1,1,2,1,,,,,,2,2,3,1,4,3,2,4,1,3,1,1,3,3,4,4,4,4,4,4,4,4,4,2,4,4
103234396,Completed,US,VA,1,7,2,7,7,3,"ROANOKE, Virginia (24018)",7,"BOSTON, Massachusetts (02115)",5,5,0,1,3,2,5,4,15,Adjunct Faculty ,3,1,1,5,2,5,,,,,,1,4,0,0,1,0,0,0,1,0,1,2,2,3,4,1,4,4,4,3,3,5,5,3,4,4,5
103235794,Completed,US,NC,1,5,2,2,5,3,"ROANOKE, Virginia (24019)",3,"ROANOKE, Virginia (24019)",5,5,0,1,3,5,5,3,5,Software développer ,3,4,2,3,2,5,1,,,,,,1,3,4,2,1,2,3,4,1,2,1,2,2,3,2,2,3,3,1,5,5,4,3,3,4,3
103244521,Completed,US,VA,2,6,2,1,2,5,"BEDFORD, Virginia (24523)",4,"BEDFORD, Virginia (24523)",5,2,10,2,1,5,2,3,16,Charge Nurse,3,2,5,6,1,1,1,,,,,,2,3,4,2,1,,,,,3,3,3,1,4,4,4,5,4,1,1,5,5,5,5,5,2
103741008,Completed,US,IL,2,4,2,1,8,1,"ROANOKE, Virginia (24016)",1,"ROANOKE, Virginia (24016)",5,5,0,2,2,5,5,1,15,Researcher,3,1,1,3,2,5,,,,,,1,4,1,2,3,4,1,2,3,4,5,1,1,3,4,4,4,4,4,4,4,5,5,5,1,4,4
103806043,Completed,US,WI,2,4,2,7,6,2,"SALEM, Virginia (24153)",2,"SALEM, Virginia (24153)",5,5,2,2,2,4,4,2,15,Graduate assistant,2,3,4,4,2,4,,,1,,,,4,4,1,2,3,4,1,2,3,4,2,2,3,4,2,4,5,5,3,4,5,5,4,1,4,3
103809111,Completed,US,WI,2,3,1,1,8,1,"ROANOKE, Virginia (24016)",1,"ROANOKE, Virginia (24016)",5,3,3,2,1,1,1,1,16,RN,3,3,4,2,1,3,,,1,,1,,3,1,2,3,4,1,2,3,4,2,2,1,1,3,3,3,3,3,5,3,3,3,3,3,3,3
103813541,Completed,US,WI,2,3,2,1,8,,,,,5,5,3,2,2,2,4,3,16,Postdoctoral Fellow,,4,2,3,1,4,1,,,,,,1,3,1,2,4,3,2,1,4,5,2,2,3,3,2,2,5,5,1,5,5,3,1,1,3,3
103994754,Completed,US,WI,2,3,2,1,5,,"MADISON, Wisconsin (53705)",1,"MADISON, Wisconsin (53719)",5,2,2.5,2,3,5,5,2,15,Teacher,4,2,4,2,1,3,1,,,,,,2,1,0,0,0,0,0,1,0,1,1,3,2,3,3,3,4,4,3,3,5,4,4,3,5,4
104569675,Completed,US,CA,1,3,1,5,5,1,"POSEYVILLE, Indiana (47633)",1,"POSEYVILLE, Indiana (47633)",2,2,30,2,,3,5,2,6,Sales Manager sale,2,3,4,4,3,4,,,,1,,,1,1,2,0,0,1,0,0,0,3,1,1,1,4,4,4,4,3,5,5,5,4,3,3,3,5
104570142,Completed,US,LA,2,3,4,1,2,1,"EAST HARTFORD, Connecticut (06108)",2,"EAST HARTFORD, Connecticut (06108)",3,3,5,1,2,3,5,1,7,Cashier,1,2,2,3,2,4,,,1,,,,2,1,2,4,3,2,1,3,4,3,1,1,1,3,4,3,2,2,3,3,3,2,3,3,3,3
104588377,Completed,US,VA,1,3,1,1,5,3,"ROANOKE, Illinois (61561)",3,"ROANOKE, Illinois (61561)",4,2,15,1,3,5,5,2,4,Safety officer,4,2,3,1,2,3,1,,,,,,4,2,1,3,4,2,1,3,4,3,2,2,2,2,4,4,4,3,2,2,5,4,5,4,4,5
104588916,Completed,US,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104589652,Completed,US,,2,4,2,5,6,5,,5,,4,3,10,1,1,3,4,3,5,Welding worker,4,1,4,4,2,4,1,,1,,,,3,1,3,4,2,1,3,4,2,4,2,2,1,4,5,4,5,4,4,4,4,4,4,4,4,5
104589877,Completed,LT,,1,3,2,1,5,1,"ROANOKE, Virginia (24012)",1,"ROANOKE, Virginia (24012)",5,3,3,1,3,4,5,2,5,manager,3,3,4,2,2,4,1,1,1,,,,3,1,2,3,4,2,1,3,4,3,2,3,2,2,2,4,3,4,4,4,4,4,4,4,4,4
104589879,Completed,PS,,1,3,2,1,5,1,"ROANOKE, Virginia (24012)",1,"ROANOKE, Virginia (24012)",5,3,3,1,3,4,5,2,5,experience,3,3,4,2,2,4,1,1,1,,,,3,1,2,3,4,2,1,3,4,3,2,3,2,2,2,4,3,4,4,4,4,4,4,4,4,4
